Production Date,Units Produced,Operational Costs,Equipment Downtime,EmployeeID,Department,Hire Date,Salary
2018-01-01,145,4469,0,387,HR,2015-12-23,68304
2018-01-02,114,3344,3,485,Engineering,2014-10-02,50261
2018-01-03,76,3816,1,130,Engineering,2020-05-12,51933
2018-01-04,58,1806,3,328,Production,2022-12-17,85780
2018-01-05,55,2317,2,36,Production,2014-07-26,41073
2018-01-06,118,2862,2,154,HR,2018-10-06,51834
2018-01-07,59,1813,2,202,Sales,2019-12-02,47206
2018-01-08,172,3402,1,352,Sales,2020-06-04,45916
2018-01-09,177,4522,1,318,HR,2022-04-09,72750
2018-01-10,105,4771,2,82,Sales,2016-11-09,54567
2018-01-11,69,1749,1,138,HR,2022-08-28,62249
2018-01-12,69,2866,0,56,HR,2021-12-22,78127
2018-01-13,83,2671,3,185,HR,2023-04-04,59155
2018-01-14,178,1106,3,354,Engineering,2019-04-16,66349
2018-01-15,65,2241,1,441,Production,2015-06-03,56412
2018-01-16,157,4821,0,174,HR,2018-04-11,97485
2018-01-17,118,1559,0,107,HR,2020-03-27,46926
2018-01-18,143,3411,1,98,Engineering,2022-04-01,54811
2018-01-19,57,1438,3,427,HR,2018-05-20,99597
2018-01-20,91,1727,0,196,HR,2023-03-02,73445
2018-01-21,73,2076,3,233,Sales,2015-08-25,36121
2018-01-22,126,2581,3,249,Sales,2022-02-02,98819
2018-01-23,128,4877,1,364,Sales,2022-04-09,62886
2018-01-24,181,3485,3,411,Sales,2022-04-12,95716
2018-01-25,64,2616,1,258,Engineering,2015-10-22,81064
2018-01-26,177,4637,3,258,Engineering,2015-10-22,81064
2018-01-27,97,3121,0,271,Engineering,2016-10-26,44849
2018-01-28,136,4618,2,130,Engineering,2020-05-12,51933
2018-01-29,65,3434,3,447,HR,2023-01-30,85228
2018-01-30,122,3262,0,480,Sales,2017-11-15,66590
2018-01-31,133,1133,0,314,Production,2022-07-01,62314
2018-02-01,84,2419,1,100,HR,2023-05-06,31751
2018-02-02,131,1067,3,17,Sales,2019-03-29,85625
2018-02-03,172,4000,0,373,Engineering,2019-09-24,32774
2018-02-04,50,1860,0,120,HR,2015-04-08,30829
2018-02-05,116,4371,1,14,Engineering,2016-06-09,59802
2018-02-06,145,4629,2,254,Engineering,2020-02-21,92682
2018-02-07,122,3191,0,451,Sales,2016-11-23,99429
2018-02-08,169,2838,2,350,HR,2022-10-08,56774
2018-02-09,195,2411,3,292,Engineering,2016-09-03,91453
2018-02-10,125,3986,2,106,Production,2021-04-23,91071
2018-02-11,146,4612,0,452,Engineering,2015-01-29,45733
2018-02-12,152,4645,0,1,HR,2020-11-07,56555
2018-02-13,186,1644,0,292,Engineering,2016-09-03,91453
2018-02-14,130,3742,2,190,Engineering,2022-10-19,49111
2018-02-15,100,2225,1,195,Production,2014-09-21,62154
2018-02-16,85,1173,0,170,Sales,2020-10-02,77469
2018-02-17,179,3265,0,491,Engineering,2018-03-04,35602
2018-02-18,152,3756,2,97,Production,2015-02-09,64659
2018-02-19,135,4232,3,264,Sales,2019-09-07,49050
2018-02-20,111,1008,3,320,HR,2016-10-25,76425
2018-02-21,165,2894,0,358,HR,2016-12-12,90835
2018-02-22,93,3878,3,66,Production,2016-12-30,53466
2018-02-23,188,3967,1,393,Production,2022-08-17,83505
2018-02-24,141,3555,1,496,Engineering,2015-09-10,59659
2018-02-25,89,1938,1,165,Sales,2023-04-15,85678
2018-02-26,65,2917,2,340,Production,2023-09-27,97469
2018-02-27,56,2165,1,18,Engineering,2017-05-12,77418
2018-02-28,88,1810,0,305,Production,2016-01-16,32126
2018-03-01,175,2630,2,47,Engineering,2023-05-18,58284
2018-03-02,197,3247,1,424,Production,2018-10-30,91388
2018-03-03,193,4251,2,62,Production,2014-09-03,51831
2018-03-04,128,1463,1,70,HR,2018-11-06,60345
2018-03-05,101,1067,1,155,Sales,2018-03-24,56071
2018-03-06,136,4843,1,239,Sales,2019-10-06,65517
2018-03-07,180,1150,0,90,Sales,2023-08-17,40648
2018-03-08,55,1154,3,216,Sales,2018-04-02,86644
2018-03-09,161,1837,3,176,Production,2020-11-12,92220
2018-03-10,149,1242,0,314,Production,2022-07-01,62314
2018-03-11,77,3921,0,405,HR,2020-09-20,51672
2018-03-12,160,1416,2,125,Sales,2017-01-06,50924
2018-03-13,176,1330,2,169,Sales,2017-12-23,50943
2018-03-14,74,1681,3,92,HR,2019-04-05,49614
2018-03-15,91,1006,1,274,Sales,2018-04-07,42999
2018-03-16,104,2818,1,12,Sales,2015-10-31,84068
2018-03-17,96,1691,3,68,HR,2017-11-15,43458
2018-03-18,66,2786,0,402,HR,2020-03-24,59904
2018-03-19,185,3757,1,350,HR,2022-10-08,56774
2018-03-20,80,2721,3,142,Sales,2023-08-06,45491
2018-03-21,101,3365,2,471,Sales,2015-01-27,78791
2018-03-22,176,1066,3,134,Production,2021-12-19,83812
2018-03-23,69,1796,2,213,Production,2018-04-15,71345
2018-03-24,113,3412,1,5,Sales,2024-01-03,75767
2018-03-25,182,4091,0,174,HR,2018-04-11,97485
2018-03-26,197,3310,3,350,HR,2022-10-08,56774
2018-03-27,184,2022,3,261,Engineering,2017-09-28,91773
2018-03-28,190,1509,2,270,Sales,2019-02-11,37937
2018-03-29,141,3923,0,19,Engineering,2024-02-26,48782
2018-03-30,51,1643,2,189,HR,2015-09-29,96321
2018-03-31,132,1563,0,48,Engineering,2017-02-16,93808
2018-04-01,192,3662,1,14,Engineering,2016-06-09,59802
2018-04-02,156,1789,0,375,HR,2024-04-03,57396
2018-04-03,55,2140,1,203,Sales,2015-04-01,69031
2018-04-04,101,1423,0,237,Engineering,2015-03-21,67048
2018-04-05,101,4406,2,251,Engineering,2020-04-10,50609
2018-04-06,176,3257,0,188,Sales,2014-11-18,94230
2018-04-07,63,2285,1,171,Sales,2021-04-08,96566
2018-04-08,102,3132,2,78,Sales,2021-05-09,54714
2018-04-09,59,2425,0,465,Engineering,2019-12-11,52183
2018-04-10,120,2184,0,222,Engineering,2014-12-21,81282
2018-04-11,194,1984,2,204,Production,2019-05-08,95703
2018-04-12,82,2979,0,163,Sales,2017-06-18,78483
2018-04-13,55,1634,3,29,Engineering,2023-09-19,63758
2018-04-14,154,4979,2,158,Production,2021-06-06,78125
2018-04-15,108,3806,3,251,Engineering,2020-04-10,50609
2018-04-16,131,3943,3,207,Engineering,2020-02-10,62278
2018-04-17,81,2018,2,8,Production,2022-02-11,65137
2018-04-18,127,2728,2,259,Sales,2020-12-27,82615
2018-04-19,185,4499,2,46,Production,2020-08-29,87046
2018-04-20,70,1002,1,196,HR,2023-03-02,73445
2018-04-21,171,1364,2,462,HR,2019-05-16,99456
2018-04-22,71,2797,0,96,HR,2015-08-13,84711
2018-04-23,54,4606,1,238,Sales,2023-09-23,44788
2018-04-24,117,2258,1,91,HR,2020-09-29,32467
2018-04-25,108,3231,2,73,Engineering,2017-01-01,98585
2018-04-26,70,4900,0,224,Production,2017-08-29,77241
2018-04-27,177,4466,0,217,Sales,2014-09-17,96320
2018-04-28,125,1987,2,159,Engineering,2015-01-19,70123
2018-04-29,137,4935,0,127,Engineering,2018-09-21,35882
2018-04-30,195,2772,0,351,Production,2014-07-17,90704
2018-05-01,188,1800,0,83,Engineering,2017-11-08,97915
2018-05-02,137,3013,1,277,Engineering,2023-09-09,88914
2018-05-03,93,2139,1,211,Production,2016-11-22,32807
2018-05-04,197,4832,3,40,Engineering,2017-07-26,42141
2018-05-05,186,2195,3,377,Production,2024-02-22,90683
2018-05-06,80,1759,0,482,Sales,2014-06-19,35337
2018-05-07,119,2509,1,191,Production,2023-05-03,92487
2018-05-08,103,3166,3,476,Production,2015-09-06,35830
2018-05-09,88,2755,1,414,Sales,2022-09-07,77826
2018-05-10,79,1196,2,102,HR,2016-11-05,38864
2018-05-11,88,3410,1,431,Engineering,2020-06-28,59748
2018-05-12,74,3356,3,47,Engineering,2023-05-18,58284
2018-05-13,152,4035,0,424,Production,2018-10-30,91388
2018-05-14,143,3726,3,482,Sales,2014-06-19,35337
2018-05-15,102,4099,3,341,Engineering,2021-11-08,80215
2018-05-16,192,4401,2,130,Engineering,2020-05-12,51933
2018-05-17,121,4661,1,338,HR,2017-07-18,61467
2018-05-18,121,3416,3,184,HR,2020-04-11,30585
2018-05-19,165,4852,1,124,Production,2019-07-30,65943
