Production Date,Units Produced,Operational Costs,Equipment Downtime
2018-01-01,145,4469,0
2018-01-02,114,3344,3
2018-01-03,76,3816,1
2018-01-04,58,1806,3
2018-01-05,55,2317,2
2018-01-06,118,2862,2
2018-01-07,59,1813,2
2018-01-08,172,3402,1
2018-01-09,177,4522,1
2018-01-10,105,4771,2
2018-01-11,69,1749,1
2018-01-12,69,2866,0
2018-01-13,83,2671,3
2018-01-14,178,1106,3
2018-01-15,65,2241,1
2018-01-16,157,4821,0
2018-01-17,118,1559,0
2018-01-18,143,3411,1
2018-01-19,57,1438,3
2018-01-20,91,1727,0
2018-01-21,73,2076,3
2018-01-22,126,2581,3
2018-01-23,128,4877,1
2018-01-24,181,3485,3
2018-01-25,64,2616,1
2018-01-26,177,4637,3
2018-01-27,97,3121,0
2018-01-28,136,4618,2
2018-01-29,65,3434,3
2018-01-30,122,3262,0
2018-01-31,133,1133,0
2018-02-01,84,2419,1
2018-02-02,131,1067,3
2018-02-03,172,4000,0
2018-02-04,50,1860,0
2018-02-05,116,4371,1
2018-02-06,145,4629,2
2018-02-07,122,3191,0
2018-02-08,169,2838,2
2018-02-09,195,2411,3
2018-02-10,125,3986,2
2018-02-11,146,4612,0
2018-02-12,152,4645,0
2018-02-13,186,1644,0
2018-02-14,130,3742,2
2018-02-15,100,2225,1
2018-02-16,85,1173,0
2018-02-17,179,3265,0
2018-02-18,152,3756,2
2018-02-19,135,4232,3
2018-02-20,111,1008,3
2018-02-21,165,2894,0
2018-02-22,93,3878,3
2018-02-23,188,3967,1
2018-02-24,141,3555,1
2018-02-25,89,1938,1
2018-02-26,65,2917,2
2018-02-27,56,2165,1
2018-02-28,88,1810,0
2018-03-01,175,2630,2
2018-03-02,197,3247,1
2018-03-03,193,4251,2
2018-03-04,128,1463,1
2018-03-05,101,1067,1
2018-03-06,136,4843,1
2018-03-07,180,1150,0
2018-03-08,55,1154,3
2018-03-09,161,1837,3
2018-03-10,149,1242,0
2018-03-11,77,3921,0
2018-03-12,160,1416,2
2018-03-13,176,1330,2
2018-03-14,74,1681,3
2018-03-15,91,1006,1
2018-03-16,104,2818,1
2018-03-17,96,1691,3
2018-03-18,66,2786,0
2018-03-19,185,3757,1
2018-03-20,80,2721,3
2018-03-21,101,3365,2
2018-03-22,176,1066,3
2018-03-23,69,1796,2
2018-03-24,113,3412,1
2018-03-25,182,4091,0
2018-03-26,197,3310,3
2018-03-27,184,2022,3
2018-03-28,190,1509,2
2018-03-29,141,3923,0
2018-03-30,51,1643,2
2018-03-31,132,1563,0
2018-04-01,192,3662,1
2018-04-02,156,1789,0
2018-04-03,55,2140,1
2018-04-04,101,1423,0
2018-04-05,101,4406,2
2018-04-06,176,3257,0
2018-04-07,63,2285,1
2018-04-08,102,3132,2
2018-04-09,59,2425,0
2018-04-10,120,2184,0
2018-04-11,194,1984,2
2018-04-12,82,2979,0
2018-04-13,55,1634,3
2018-04-14,154,4979,2
2018-04-15,108,3806,3
2018-04-16,131,3943,3
2018-04-17,81,2018,2
2018-04-18,127,2728,2
2018-04-19,185,4499,2
2018-04-20,70,1002,1
2018-04-21,171,1364,2
2018-04-22,71,2797,0
2018-04-23,54,4606,1
2018-04-24,117,2258,1
2018-04-25,108,3231,2
2018-04-26,70,4900,0
2018-04-27,177,4466,0
2018-04-28,125,1987,2
2018-04-29,137,4935,0
2018-04-30,195,2772,0
2018-05-01,188,1800,0
2018-05-02,137,3013,1
2018-05-03,93,2139,1
2018-05-04,197,4832,3
2018-05-05,186,2195,3
2018-05-06,80,1759,0
2018-05-07,119,2509,1
2018-05-08,103,3166,3
2018-05-09,88,2755,1
2018-05-10,79,1196,2
2018-05-11,88,3410,1
2018-05-12,74,3356,3
2018-05-13,152,4035,0
2018-05-14,143,3726,3
2018-05-15,102,4099,3
2018-05-16,192,4401,2
2018-05-17,121,4661,1
2018-05-18,121,3416,3
2018-05-19,165,4852,1
2018-05-20,94,2393,2
2018-05-21,58,3715,0
2018-05-22,199,4322,0
2018-05-23,108,2200,3
2018-05-24,162,2679,3
2018-05-25,109,1677,2
2018-05-26,169,1501,2
2018-05-27,141,1267,2
2018-05-28,165,2784,3
2018-05-29,138,4659,0
2018-05-30,99,2839,0
2018-05-31,95,3326,3
2018-06-01,86,1438,1
2018-06-02,68,1280,3
2018-06-03,140,4970,3
2018-06-04,145,3487,3
2018-06-05,85,3850,0
2018-06-06,73,1921,3
2018-06-07,64,1168,0
2018-06-08,195,2308,0
2018-06-09,138,4305,3
2018-06-10,67,2294,2
2018-06-11,184,1566,3
2018-06-12,137,2007,3
2018-06-13,53,1017,3
2018-06-14,77,1180,0
2018-06-15,114,1537,0
2018-06-16,54,1729,3
2018-06-17,117,1362,1
2018-06-18,192,3448,0
2018-06-19,120,3616,2
2018-06-20,65,4678,3
2018-06-21,94,1624,3
2018-06-22,141,4280,0
2018-06-23,99,3005,2
2018-06-24,75,3370,0
2018-06-25,156,2499,0
2018-06-26,187,3224,2
2018-06-27,102,3011,1
2018-06-28,136,1422,1
2018-06-29,71,3481,1
2018-06-30,83,3180,0
2018-07-01,176,2050,1
2018-07-02,140,3551,2
2018-07-03,55,3445,1
2018-07-04,181,1461,0
2018-07-05,85,3457,3
2018-07-06,141,2046,2
2018-07-07,187,4324,1
2018-07-08,97,2424,3
2018-07-09,50,4987,0
2018-07-10,188,2912,1
2018-07-11,57,1853,0
2018-07-12,89,1149,0
2018-07-13,113,4978,0
2018-07-14,65,2035,3
2018-07-15,188,4629,0
2018-07-16,126,4169,1
2018-07-17,105,4955,0
2018-07-18,169,2335,0
2018-07-19,76,3012,3
2018-07-20,110,1343,3
2018-07-21,99,4180,1
2018-07-22,112,3160,0
2018-07-23,115,4957,0
2018-07-24,88,3926,1
2018-07-25,172,2216,2
2018-07-26,166,1153,3
2018-07-27,188,2933,2
2018-07-28,84,3346,1
2018-07-29,163,3659,1
2018-07-30,174,2167,3
2018-07-31,168,1978,0
2018-08-01,166,1790,2
2018-08-02,96,3086,3
2018-08-03,99,4900,2
2018-08-04,174,1867,0
2018-08-05,177,3436,0
2018-08-06,126,4143,3
2018-08-07,99,2511,2
2018-08-08,110,3672,3
2018-08-09,176,1737,1
2018-08-10,121,2280,1
2018-08-11,198,3173,0
2018-08-12,53,4756,2
2018-08-13,61,4403,1
2018-08-14,61,2563,1
2018-08-15,81,4053,1
2018-08-16,62,2512,1
2018-08-17,199,4691,3
2018-08-18,74,4112,1
2018-08-19,193,4869,1
2018-08-20,160,2771,0
2018-08-21,197,2049,1
2018-08-22,142,3606,1
2018-08-23,50,2119,0
2018-08-24,136,2388,2
2018-08-25,71,2273,1
2018-08-26,184,3251,1
2018-08-27,172,3643,2
2018-08-28,132,4122,1
2018-08-29,163,2603,0
2018-08-30,77,2487,3
2018-08-31,64,4197,2
2018-09-01,97,4535,2
2018-09-02,187,3650,0
2018-09-03,96,2366,2
